"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
82000001,01,99,일원터널 내 보행로,,서울특별시 강남구 개포동 산46-11,37.484041,127.076294,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 동부도로사업소,02-2040-0368,2018-08-01
82000001,01,99,매봉터널 내 보행로,,서울특별시 강남구 도곡동 산26-4,37.490461,127.048641,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 동부도로사업소,02-2040-0368,2018-08-01
82000001,01,99,금화터널 내 보행로,,서울특별시 서대문구 대신동 2~현저동 산107,37.570105,126.951837,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,월드컵터널 내 보행로,,서울특별시 마포구 성산동 664,37.571449,126.897005,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,호암2터널 내 보행로,,서울특별시 금천구 시흥동 산73-5~경기도 안양시 석수동 산11-19,37.440196,126.915246,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,상도터널 내 보행로,,서울특별시 동작구 상도동 516~본동 136,37.508683,126.952118,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,난곡터널 내 보행로,,서울특별시 관악구 신림동 산197~신림동 1623,37.478141,126.918676,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,산복터널 내 보행로,,서울특별시 금천구 시흥2동 산100-1~관악구 신림동 산102-6,37.456917,126.920818,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,호암1터널 내 보행로,,서울특별시 금천구 시흥동 산91-5~시흥동 산83-38,37.445828,126.917981,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,북악터널 내 보행로,,서울특별시 종로구 평창동 산 6-2,37.602924,126.969359,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,구기터널 내 보행로,,서울특별시 종로구 구기동 244~은평구 불광동 산42-1,37.609424,126.951255,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,자하문터널 내 보행로,,서울특별시 종로구 청운동 산4-6~부암동,37.591420,126.965007,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,공릉터널 내 보행로,,서울특별시 노원구 하계동 산34-8~공릉동 172-18,37.635520,127.081304,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,솔샘터널 내 보행로,,서울특별시 강북구 미아동 1353~성북구 정릉동239-23,37.618604,127.008721,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,사직터널 내 보행로,,서울특별시 종로구 교남동~사직동,37.573356,126.964971,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,금호터널 내 보행로,,서울특별시 성동구 금호동2가 산2-1,37.557140,127.019504,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,무지개터널 내 보행로,,서울특별시 성동구 성수동1가 685-243,37.543038,127.039522,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,옥수터널 내 보행로,,서울특별시 성동구 옥수동 517-24,37.545272,127.016649,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,화곡터널 내 보행로,,서울특별시 강서구 화곡동 산143-2~화곡동 산172-2,37.536019,126.844078,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,궁동터널 내 보행로,,서울특별시 양천구 신정동 산150-1~구로구 궁동 산1-42,37.506411,126.830951,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,작동터널 내 보행로,,서울특별시 구로구 궁동 산1-3~경기도 부천시 작동 산160-1,37.506047,126.822886,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,천왕산생태터널 내 보행로,,서울특별시 구로구 항동 71-1,37.485263,126.829652,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,석촌지하보차도 내 보행로,,서울특별시 송파구 석촌동 205,37.504015,127.103919,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 동부도로사업소,02-2040-0368,2018-08-01
82000001,01,99,잠수교북단지하보차도 내 보행로,,서울특별시 용산구 서빙고동 186,37.519769,126.994045,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,증산지하보차도 내 보행로,,서울특별시 은평구 증산동 220-1~성산동488,37.576440,126.901750,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,연희지하보차도 내 보행로,,서울특별시 서대문구 연희동170-15,37.576305,126.935463,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,영등포지하보차도 내 보행로,,서울특별시 영등포구 영등포동 585,37.516584,126.912393,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,대방지하보차도 내 보행로,,서울특별시 영등포구 신길동 1367,37.512842,126.925592,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,잠수교남측지하보차도 내 보행로,,서울특별시 서초구 반포동 274~반포동 137,37.510137,126.998632,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,방학지하차도 내 보행로,,서울특별시 도봉구 방학동 709~710,37.662674,127.044633,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,월계지하차도 내 보행로,,서울특별시 노원구 월계동 303-3,37.630227,127.059053,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,창동지하차도 내 보행로,,서울특별시 도봉구 창동 75-9,37.651645,127.048255,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,녹천지하차도 내 보행로,,서울특별시 도봉구 창동 산163-6,37.645768,127.050655,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,능산길 지하보차도 내 보행로,,서울특별시 중랑구 신내동 418-8,37.604881,127.100725,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,답십리굴다리지하보차도 내 보행로,,서울특별시 동대문구 전농동 588-1,37.577061,127.045442,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,군자교동측지하차도 내 보행로,,서울특별시 광진구 중곡동 263-1,37.559552,127.073840,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,신내지하보차도 내 보행로,,서울특별시 중랑구 신내동 516-5,37.601056,127.096599,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,마장지하보차도 내 보행로,,서울특별시 성동구 마장동 294,37.565880,127.037442,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,구로역지하차도 내 보행로,,서울특별시 구로구 구로5동 585,37.501596,126.881358,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,가마산지하보차도 내 보행로,,서울특별시 구로구 구로동 699,37.488232,126.880449,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,신도림지하보차도 내 보행로,,서울특별시 구로구 구로5동3-72,37.505957,126.886280,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,목동교서측지하보차도 내 보행로,,서울특별시 양천구 목7동 목동교연장,37.531056,126.886899,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,오목교서측지하보차도 내 보행로,,서울특별시 양천구 목1동 409-74,37.524541,126.877480,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,서울교접속남단지하보차도 내 보행로,,서울특별시 영등포구 영등포2가94-32,37.520063,126.914185,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
